"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-06",,,"0.10",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-09",,,"0.42",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-10",,,"0.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-11",,,"0.44",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-13",,,"0.04",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-14",,,"0.36",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-15",,,"0.41",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-16",,,"0.43",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-17",,,"0.21",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-18",,,"0.23",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-21",,,"0.06",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-27",,,"0.00",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-02-28",,,"0.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-02",,,"0.63",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-03",,,"0.78",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-04",,,"0.02",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-05",,,"0.00",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-06",,,"0.65",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-07",,,"0.19",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-08",,,"0.29",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-09",,,"0.05",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-10",,,"0.05",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-20",,,"0.30",
"US1CAFR0021","SQUAW VALLEY 0.6 SE, CA US","2019-03-21",,,"0.57",
