STATION,NAME,DATE,PRCP,SNWD,lat,long,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/26/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/27/2018,0.3,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/28/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/29/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/30/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",7/31/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/1/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/2/2018,0.2,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/3/2018,0.2,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/4/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/5/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/6/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/7/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/8/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/9/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/10/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/11/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/12/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/13/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/14/2018,0.1,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/15/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/16/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/17/2018,0.2,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/18/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/19/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/20/2018,0.2,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/21/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/22/2018,1.2,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/23/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/24/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/25/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/26/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/27/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/28/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/29/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/30/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",8/31/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/1/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/2/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/3/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/4/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/5/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/6/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/7/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/8/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/9/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/10/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/11/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/12/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/13/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/14/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/15/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/16/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/17/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/18/2018,0,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/19/2018,0.1,0,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",9/20/2018,0,0,40.580755,-111.657296,,,,,
